ds,yhat
2025-08-15,1456.8830069714586
2025-08-16,1447.2733464297069
2025-08-17,1384.334466339547
2025-08-18,1373.6716487345655
2025-08-19,1355.9663063367439
2025-08-20,1344.8404156598572
2025-08-21,1376.487342015811
