ds,yhat,yhat_lower,yhat_upper
2025-08-15,1319.3356185687674,1251.089968355739,1387.6887089350291
2025-08-16,1309.092786584671,1243.2769795859833,1371.5262682306738
2025-08-17,1295.4396130549685,1219.4039587945224,1359.891729933706
2025-08-18,1284.4855314316512,1216.0536501466438,1355.5864568106163
2025-08-19,1277.9927252134555,1207.4125273864922,1346.8690412447509
2025-08-20,1271.3088616484904,1202.819455733829,1338.3473639798574
2025-08-21,1264.7144997135626,1195.24014548105,1333.0426215486027
