ds,yhat,yhat_lower,yhat_upper
2025-08-15,1560.1432233631722,1489.3685742036878,1629.7842618056118
2025-08-16,1564.8173234170265,1495.13130631384,1635.9369944477698
2025-08-17,1550.8616470094562,1474.885540594569,1621.2006906259198
2025-08-18,1558.7629618998242,1486.1901791078997,1630.332318709976
2025-08-19,1567.637459438677,1494.637958296647,1636.5664722428742
2025-08-20,1573.3303709720772,1496.6563333531235,1646.5618854643833
2025-08-21,1576.4348220245536,1504.3978820963114,1645.2556810844194
